pid,wave,year,zattfam,age,female,qualhi,partner,country
32169256,3,1995,-0.32,24,0,1,0,1
32169337,2,1993,-2.04,22,0,1,0,1
32169337,3,1995,-0.29,24,0,1,0,1
32640617,2,1993,0.99,22,1,0,1,1
32640617,3,1995,0.86,24,1,0,1,1
32640617,4,1997,1.4,26,1,0,0,1
32640617,5,1999,0.42,28,1,0,0,1
32640617,6,2001,0.4,30,1,0,1,1
32705689,2,1993,-1.69,22,1,0,1,1
32705689,3,1995,-2.41,24,1,0,1,1
32705689,4,1997,0.69,26,1,0,1,1
32705689,5,1999,-1.6,28,1,0,1,1
32705689,6,2001,-1.46,30,1,0,1,1
32705689,7,2003,-1.18,32,1,0,1,1
32705689,8,2005,-1.58,34,1,0,1,1
32705689,9,2007,-1.24,36,1,0,1,1
33567549,2,1993,1.65,22,1,0,1,1
33567549,3,1995,-0.47,24,1,0,1,1
34041648,2,1993,0.31,22,0,1,1,1
34041648,3,1995,-2.08,24,0,1,1,1
34041648,4,1997,-0.55,26,0,1,1,1
34041648,5,1999,0.15,28,0,1,1,1
34041648,6,2001,-1.8,30,0,1,1,1
34041648,7,2003,-2.51,32,0,1,1,1
34041648,8,2005,-2.08,34,0,1,1,1
34041648,9,2007,-2.53,36,0,1,1,1
34288716,2,1993,0.96,22,1,0,1,1
34288716,3,1995,0.86,24,1,0,1,1
34288716,4,1997,1.5,26,1,0,1,1
34288716,5,1999,0.96,28,1,0,1,1
34288716,6,2001,1.31,30,1,0,1,1
34288716,7,2003,1.08,32,1,0,1,1
34288716,8,2005,0.48,34,1,0,1,1
34288716,9,2007,0.8,36,1,0,1,1
36014028,2,1993,-0.09,22,1,1,1,1
36014028,3,1995,0.84,24,1,1,1,1
36014028,4,1997,0.67,26,1,1,1,1
36014028,5,1999,1,28,1,1,1,1
36014028,6,2001,1.78,30,1,1,1,1
36531537,2,1993,0.29,22,0,1,0,1
36531537,3,1995,0.22,24,0,1,0,1
36612359,2,1993,-0.65,22,0,0,1,1
36612359,3,1995,0.61,24,0,0,1,1
36612359,4,1997,2.27,26,0,0,1,1
36612359,5,1999,1.08,28,0,0,1,1
36612359,6,2001,2.01,30,0,0,1,1
36612359,7,2003,1.06,32,0,0,1,1
36612359,8,2005,0.92,34,0,0,1,1
36612359,9,2007,1,36,0,0,1,1
36845736,2,1993,-2.17,22,1,1,0,2
36845736,3,1995,-1.92,24,1,1,0,2
37092278,2,1993,-1.37,22,1,1,0,1
37092278,3,1995,-0.75,24,1,1,0,1
37092316,2,1993,-0.77,22,0,1,0,1
37092316,3,1995,0.43,24,0,1,0,1
37293869,2,1993,-0.22,22,1,0,1,3
37293869,3,1995,0.54,24,1,1,1,3
40182118,3,1995,0.27,24,0,0,1,1
40182118,4,1997,0.2,26,0,0,1,1
40182118,5,1999,0.58,28,0,0,1,1
40182118,6,2001,-0.29,30,0,0,1,1
40182118,7,2003,-1.39,32,0,0,1,1
40182118,8,2005,0.01,34,0,0,1,1
40182118,9,2007,-0.54,36,0,0,1,1
42371848,3,1995,0.64,24,1,0,1,1
42371848,4,1997,1.12,26,1,0,1,1
44228368,3,1995,0.26,24,0,1,1,1
44228368,4,1997,0.62,26,0,1,1,1
44228368,5,1999,0.22,28,0,1,1,1
44228368,6,2001,-0.35,30,0,1,1,1
44487606,3,1995,-1.17,24,0,0,1,1
44487606,4,1997,-0.64,26,0,0,1,1
44487606,5,1999,-0.83,28,0,0,1,1
44487606,6,2001,-1.06,30,0,0,1,1
44487606,7,2003,-0.91,32,0,0,1,1
44487606,8,2005,-1.21,34,0,0,1,1
44487606,9,2007,-0.83,36,0,0,1,1
46846727,3,1995,0.12,24,1,0,1,1
46846727,5,1999,-0.82,28,1,0,1,1
46846727,6,2001,-0.66,30,1,0,1,1
46846727,7,2003,-0.6,32,1,0,1,1
46846727,8,2005,-1.63,34,1,0,1,1
46846727,9,2007,-1.02,36,1,0,1,1
46907548,3,1995,1.59,24,1,0,1,1
46907548,4,1997,0.75,26,1,0,1,1
47321849,3,1995,0.28,24,1,1,1,1
47321849,4,1997,-1.37,26,1,1,0,1
47736607,3,1995,0.66,24,1,0,1,1
47736607,4,1997,0.81,26,1,0,1,1
47736607,5,1999,0.68,28,1,0,1,1
47736607,6,2001,1.17,30,1,0,1,1
47736607,7,2003,0.82,32,1,0,1,1
47736607,8,2005,0.71,34,1,0,1,1
47736607,9,2007,-0.37,36,1,0,1,1
52093069,3,1995,1.47,24,1,1,1,1
52093069,4,1997,0.38,26,1,1,1,1
52093069,5,1999,-0.19,28,1,1,1,1
52093069,6,2001,0.51,30,1,1,1,1
52093069,7,2003,-0.85,32,1,1,1,1
52093069,8,2005,-0.53,34,1,1,1,1
52093069,9,2007,-1.11,36,1,1,1,1
52579581,3,1995,-0.13,24,0,0,1,1
52579581,5,1999,-0.3,28,0,0,1,1
52579581,6,2001,-0.06,30,0,0,1,1
52579581,7,2003,-0.07,32,0,0,1,1
52579581,8,2005,-1.04,34,0,0,1,1
52579581,9,2007,-0.36,36,0,0,1,1
52997758,3,1995,-0.43,24,1,0,1,1
52997758,4,1997,-0.21,26,1,0,1,1
52997758,5,1999,-0.35,28,1,0,1,1
53282388,3,1995,0.48,24,1,0,1,1
53282388,4,1997,1.82,26,1,0,1,1
53282388,5,1999,0.87,28,1,0,1,1
53282388,6,2001,-0.65,30,1,0,1,1
53282388,7,2003,1.16,32,1,0,1,1
53282388,8,2005,1.16,34,1,0,1,1
53282388,9,2007,1.3,36,1,0,1,1
53980247,3,1995,0.22,24,0,0,1,1
53980247,4,1997,-0.78,26,0,1,1,1
53980247,5,1999,-0.59,28,0,1,1,1
53980247,6,2001,-0.71,30,0,1,1,1
53980247,8,2005,-1.44,34,0,1,1,1
53980247,9,2007,-1.92,36,0,1,1,2
54198216,3,1995,1.51,24,1,1,1,1
54198216,4,1997,0.47,26,1,1,1,1
54198216,5,1999,0.01,28,1,1,1,1
54198216,6,2001,-0.42,30,1,1,1,1
54198216,7,2003,-0.53,32,1,1,1,1
54198216,8,2005,-0.36,34,1,1,1,1
54474507,3,1995,0.44,24,0,0,1,1
54474507,4,1997,0.34,26,0,0,1,1
54474507,5,1999,0.82,28,0,0,1,1
54474507,6,2001,1.03,30,0,0,1,1
54474507,7,2003,-0.48,32,0,0,1,1
54474507,8,2005,0.05,34,0,0,1,1
54474507,9,2007,-0.03,36,0,0,1,1
55333079,3,1995,0.35,24,0,0,1,3
55333079,4,1997,0.17,26,0,0,1,3
55333079,5,1999,0.46,28,0,0,1,3
55333079,6,2001,0.7,30,0,0,1,3
56537204,3,1995,1.08,24,1,0,1,1
56537204,4,1997,0.33,26,1,0,1,1
56537204,5,1999,0.72,28,1,0,1,1
56537204,6,2001,0.26,30,1,0,0,1
56537204,7,2003,0.05,32,1,0,0,1
56537204,8,2005,-0.29,34,1,0,0,1
56537204,9,2007,-0.77,36,1,0,0,1
57375259,3,1995,-1.03,24,1,0,1,1
57375259,4,1997,-1.62,26,1,0,1,1
57375259,5,1999,-0.52,28,1,0,1,1
57375259,6,2001,-1.68,30,1,0,1,1
57375259,7,2003,-0.51,32,1,0,1,1
57375259,8,2005,-1.01,34,1,0,1,1
57375259,9,2007,-0.82,36,1,0,1,1
57439788,4,1997,0,26,1,1,1,1
57439788,5,1999,1.03,28,1,1,1,1
57476888,3,1995,-1.72,24,0,0,1,1
57476888,4,1997,-2.13,26,0,0,1,1
57476888,5,1999,-0.67,28,0,0,1,1
57476888,8,2005,-1.53,34,0,0,1,1
57476888,9,2007,-1.95,36,0,0,1,1
57536589,3,1995,0.16,24,1,0,1,1
57536589,6,2001,-0.79,30,1,0,1,1
57547688,3,1995,0.39,24,0,0,1,1
57547688,4,1997,1,26,0,0,1,1
57547688,6,2001,0.52,30,0,0,1,1
57547688,7,2003,1.06,32,0,0,1,1
57547688,8,2005,0.19,34,0,0,1,1
57547688,9,2007,0.8,36,0,0,1,1
60957077,4,1997,-1.06,26,0,0,1,1
60957077,5,1999,0.33,28,0,0,1,1
60957077,8,2005,0.13,34,0,0,1,1
60957077,9,2007,1.03,36,0,0,1,1
61607215,4,1997,-0.29,26,0,0,1,1
61607215,5,1999,0.34,28,0,0,1,1
61607215,7,2003,-0.68,32,0,0,1,1
61607215,8,2005,-0.87,34,0,0,1,1
61607215,9,2007,-0.6,36,0,0,1,1
63196719,4,1997,0.11,26,0,0,1,1
63196719,5,1999,0.03,28,0,0,1,1
64529789,4,1997,-0.38,26,1,0,1,1
64529789,5,1999,0.04,28,1,0,1,1
64529789,6,2001,0.69,30,1,0,1,1
64529789,8,2005,-0.35,34,1,0,1,1
64529789,9,2007,-0.36,36,1,0,1,1
66202183,4,1997,-0.72,26,1,1,1,1
66202183,5,1999,-1.43,28,1,1,1,1
66289378,4,1997,0.5,26,1,1,1,1
66289378,5,1999,-0.18,28,1,1,1,1
66289378,6,2001,0.13,30,1,1,1,1
67702376,4,1997,-0.5,26,0,1,0,3
67702376,5,1999,-0.17,28,0,1,0,3
67708978,4,1997,0.1,26,1,1,1,3
67708978,5,1999,-0.12,28,1,1,1,3
67708978,6,2001,1.47,30,1,1,1,3
67708978,7,2003,1.1,32,1,1,1,3
68162898,4,1997,-1.01,26,1,0,1,1
68162898,5,1999,-1.03,28,1,0,1,1
68162898,7,2003,-0.46,32,1,0,1,1
68602472,4,1997,-0.46,26,1,0,0,1
68602472,5,1999,-3.26,28,1,0,1,1
68602472,6,2001,-3.87,30,1,0,1,1
68602472,7,2003,-2.21,32,1,0,1,1
68602472,9,2007,-2.83,36,1,0,1,1
68878893,4,1997,0.28,26,0,0,1,1
68878893,5,1999,0.12,28,0,0,1,1
68878893,6,2001,0.95,30,0,0,1,1
68878893,7,2003,0.48,32,0,0,1,1
68878893,8,2005,0.34,34,0,0,1,1
70751498,4,1997,0.61,26,0,0,0,1
70751498,5,1999,0.21,28,0,0,1,1
70751498,6,2001,0.89,30,0,0,1,1
70751498,7,2003,1,32,0,0,1,1
70751498,8,2005,0.29,34,0,0,1,1
70751498,9,2007,0.72,36,0,0,1,1
73147516,4,1997,3.12,26,0,0,1,1
73147516,5,1999,-0.02,28,0,0,1,1
73667579,4,1997,0.34,26,1,0,1,1
73667579,5,1999,0.08,28,1,0,1,1
73667579,6,2001,-0.04,30,1,0,1,1
73667579,7,2003,0.04,32,1,0,1,1
73667579,8,2005,-0.22,34,1,0,1,1
73667579,9,2007,-0.12,36,1,0,1,1
75193469,4,1997,0.02,26,1,1,1,1
75193469,5,1999,-0.99,28,1,1,1,1
75193469,6,2001,-1.6,30,1,1,1,1
75193469,7,2003,-0.64,32,1,1,1,1
76337316,4,1997,0.48,26,0,0,1,1
76337316,5,1999,0.16,28,0,0,1,1
76337316,6,2001,-0.84,30,0,0,1,1
76337316,7,2003,-0.1,32,0,0,1,1
76337316,8,2005,-1.06,34,0,0,1,1
76337316,9,2007,-1,36,0,0,1,1
76975398,4,1997,-1.69,26,1,0,1,1
76975398,5,1999,-0.35,28,1,0,1,1
76975398,6,2001,-2.23,30,1,0,1,1
76975398,7,2003,-2.44,32,1,0,1,1
76975398,8,2005,-0.89,34,1,0,1,1
76975398,9,2007,-2.08,36,1,0,1,1
77535138,4,1997,0.85,26,0,0,0,1
77535138,5,1999,0.11,28,0,0,1,1
77556216,4,1997,0.57,26,0,0,1,1
77556216,5,1999,0.13,28,0,0,1,1
77556216,6,2001,1,30,0,0,1,1
77556216,7,2003,-0.79,32,0,0,1,1
77576926,4,1997,-0.4,26,1,0,1,1
77576926,5,1999,-0.04,28,1,0,1,1
77576926,6,2001,-0.28,30,1,0,1,1
77576926,7,2003,-0.85,32,1,0,1,1
77576926,8,2005,-0.52,34,1,0,0,1
77576926,9,2007,-0.1,36,1,0,1,3
78004349,4,1997,0.25,26,1,0,1,1
78004349,5,1999,0.7,28,1,0,1,1
78004349,6,2001,-0.26,30,1,0,1,1
78079969,4,1997,1.04,26,1,0,0,1
78079969,6,2001,0.74,30,1,0,0,1
78128137,4,1997,-0.75,26,0,1,0,1
78128137,5,1999,-0.99,28,0,1,1,1
78128137,6,2001,-0.73,30,0,1,1,1
78138175,4,1997,-0.51,26,0,0,0,1
78138175,5,1999,-1.53,28,0,0,0,1
78138175,6,2001,-3.18,30,0,0,0,1
78160391,4,1997,1.04,26,1,0,1,1
78160391,5,1999,1.44,28,1,0,1,1
78160391,6,2001,1.07,30,1,1,1,1
78219698,4,1997,0.15,26,0,0,0,2
78219698,5,1999,-0.19,28,0,0,1,2
78219698,6,2001,0.23,30,0,0,1,2
78573599,4,1997,0.12,26,1,0,1,1
78573599,5,1999,-0.17,28,1,0,0,1
78573599,6,2001,-0.5,30,1,0,1,1
78616948,4,1997,0.09,26,1,0,1,1
78616948,5,1999,-0.98,28,1,0,1,1
78616948,6,2001,-1.26,30,1,0,1,1
78617499,4,1997,-2,26,1,0,1,1
78617499,5,1999,-0.62,28,1,0,1,1
78617499,6,2001,0.22,30,1,0,1,1
78638089,4,1997,0.33,26,0,0,1,1
78638089,5,1999,-0.78,28,0,0,1,1
78638089,6,2001,-0.35,30,0,0,1,1
78642817,4,1997,0.24,26,0,0,0,1
78642817,5,1999,0.74,28,0,0,0,1
78642817,6,2001,-0.62,30,0,0,1,1
78658799,4,1997,-0.44,26,1,0,1,1
78658799,5,1999,-0.3,28,1,0,1,1
78658799,6,2001,-0.89,30,1,0,1,1
78662958,5,1999,0.01,28,0,0,1,1
78662958,6,2001,0.11,30,0,0,1,1
78753899,4,1997,-0.02,26,1,0,0,1
78753899,5,1999,1.16,28,1,0,0,1
78753899,6,2001,0.45,30,1,0,0,1
78773547,4,1997,-1.36,26,0,0,1,3
78773547,5,1999,-1.12,28,0,0,1,3
78773547,6,2001,-0.31,30,0,0,1,3
78773598,4,1997,1.2,26,1,0,1,3
78773598,5,1999,-0.64,28,1,0,1,3
78773598,6,2001,-0.63,30,1,0,1,3
78787327,4,1997,1.03,26,0,0,0,3
78787327,5,1999,0.87,28,0,0,0,3
78787327,6,2001,0.68,30,0,0,0,3
80847099,5,1999,0.38,28,0,0,1,1
80847099,6,2001,1.56,30,0,0,1,1
80847099,7,2003,0.48,32,0,0,1,1
80847099,8,2005,-0.27,34,0,0,1,1
80847099,9,2007,-0.74,36,0,0,1,1
83780238,5,1999,0.38,28,1,0,1,3
83780238,6,2001,0.24,30,1,0,1,3
83780238,7,2003,0.07,32,1,0,1,3
83780238,8,2005,0.26,34,1,0,1,3
85245747,5,1999,0.24,28,1,0,1,1
85245747,6,2001,1.11,30,1,0,1,1
85245747,7,2003,0.02,32,1,0,1,1
85245747,8,2005,-0.35,34,1,0,1,1
85245747,9,2007,0.38,36,1,0,1,1
85672726,5,1999,0.88,28,1,0,1,1
85672726,6,2001,-0.13,30,1,0,1,1
85672726,7,2003,0.24,32,1,0,1,1
85672726,8,2005,-0.32,34,1,0,1,1
85672726,9,2007,0.39,36,1,0,1,1
85746258,5,1999,1,28,1,1,1,1
85746258,6,2001,1.27,30,1,1,1,1
85746258,7,2003,-0.23,32,1,1,1,1
85746258,8,2005,-0.85,34,1,1,1,1
85746258,9,2007,-0.74,36,1,1,1,1
85946788,5,1999,0.08,28,1,0,1,1
85946788,6,2001,0.18,30,1,0,1,1
85946788,7,2003,-0.61,32,1,0,1,1
85946788,8,2005,0.26,34,1,0,1,1
87947838,5,1999,-1.07,28,1,0,1,1
87947838,6,2001,-1.04,30,1,0,1,1
92295444,5,1999,-0.3,28,1,1,1,3
92295444,6,2001,0.53,30,1,1,1,3
92295444,7,2003,0.1,32,1,1,1,3
92295444,8,2005,-0.86,34,1,1,1,3
92295444,9,2007,0.01,36,1,1,1,3
92507417,5,1999,1.46,28,0,1,1,1
92507417,6,2001,0.93,30,0,1,1,1
92507417,7,2003,0.64,32,0,1,1,1
92507417,8,2005,0.31,34,0,1,1,1
92507417,9,2007,0.73,36,0,1,1,1
93717288,6,2001,1.52,30,1,0,1,1
93717288,7,2003,0.77,32,1,0,1,1
93717288,8,2005,1.17,34,1,0,1,1
93717288,9,2007,0.69,36,1,0,1,1
94322368,5,1999,0.85,28,0,0,1,3
94322368,6,2001,2.21,30,0,0,1,3
94556091,5,1999,1.44,28,0,0,1,2
94556091,6,2001,2.4,30,0,1,1,2
94556091,9,2007,2.06,36,0,1,1,2
94591598,5,1999,0.35,28,1,0,0,2
94591598,6,2001,1.16,30,1,0,0,2
94591598,7,2003,0.09,32,1,0,0,2
94591598,8,2005,0.29,34,1,0,1,2
94758417,5,1999,0.06,28,0,1,1,2
94758417,6,2001,0.06,30,0,1,1,2
94758417,7,2003,0.47,32,0,1,1,2
94758417,8,2005,-0.15,34,0,1,1,2
94758417,9,2007,0.11,36,0,1,1,2
94769958,5,1999,-0.79,28,1,0,1,2
94769958,6,2001,-0.61,30,1,0,1,2
94769958,7,2003,0.58,32,1,1,1,2
94769974,5,1999,-1.16,28,0,1,1,2
94769974,6,2001,-0.55,30,0,1,1,2
94769974,7,2003,0.06,32,0,1,1,2
94781559,5,1999,-0.04,28,0,0,0,2
94781559,8,2005,-0.34,34,0,0,1,2
94781559,9,2007,-0.63,36,0,0,1,2
94860785,5,1999,1.44,28,1,0,0,2
94860785,6,2001,1.67,30,1,0,0,2
94860785,7,2003,2.05,32,1,0,0,2
94860785,8,2005,1.93,34,1,0,0,2
94860785,9,2007,2.79,36,1,0,0,2
95024379,5,1999,-1.95,28,0,0,1,2
95024379,6,2001,0.09,30,0,0,1,2
95024379,7,2003,-0.54,32,0,0,1,2
95024379,8,2005,0.24,34,0,0,1,2
95024379,9,2007,-0.54,36,0,0,1,2
95213465,5,1999,-0.65,28,0,0,1,2
95213465,6,2001,-0.54,30,0,0,1,2
95213465,7,2003,-0.35,32,0,0,1,2
95213465,8,2005,-0.54,34,0,0,1,2
95213465,9,2007,-0.52,36,0,0,1,2
95226664,5,1999,1.17,28,1,0,1,2
95226664,6,2001,0.86,30,1,0,1,2
95226664,7,2003,0.65,32,1,0,1,2
95226664,8,2005,0.36,34,1,0,1,2
95226664,9,2007,0.89,36,1,0,1,2
95243178,6,2001,0.12,30,0,0,1,2
95243178,7,2003,-0.36,32,0,0,1,2
95243178,8,2005,0.88,34,0,0,1,2
95293574,5,1999,0.99,28,1,0,0,2
95293574,6,2001,0.45,30,1,0,0,2
95300171,5,1999,-0.62,28,1,0,0,2
95300171,6,2001,-0.81,30,1,0,0,2
95300171,7,2003,-1.79,32,1,0,1,2
95300171,8,2005,-1.52,34,1,0,1,2
95300171,9,2007,-1.42,36,1,0,1,2
95386904,5,1999,0.13,28,1,0,1,2
95386904,6,2001,0.12,30,1,0,1,2
95446354,5,1999,-1.18,28,0,0,1,2
95446354,6,2001,-0.4,30,0,0,1,2
95446354,7,2003,-0.85,32,0,0,1,2
95446354,8,2005,-1,34,0,0,1,2
95446354,9,2007,-1.91,36,0,0,1,2
95458751,5,1999,-1.22,28,1,0,1,2
95458751,6,2001,-0.44,30,1,0,1,2
95458751,7,2003,-0.35,32,1,0,1,2
95458751,8,2005,-0.15,34,1,0,1,2
95458751,9,2007,-0.72,36,1,0,1,2
95470328,5,1999,1.64,28,0,0,1,2
95470328,6,2001,1.07,30,0,0,1,2
95470328,7,2003,0.75,32,0,0,1,2
95475281,5,1999,0.09,28,1,0,1,2
95475281,6,2001,-0.41,30,1,0,1,2
95475281,7,2003,-1.11,32,1,0,1,2
95475281,8,2005,-0.33,34,1,0,1,2
95475281,9,2007,0.09,36,1,0,1,2
95476938,5,1999,-0.08,28,1,0,1,2
95476938,6,2001,-0.17,30,1,0,1,2
95476938,7,2003,-0.5,32,1,0,1,2
95476938,8,2005,-0.35,34,1,0,1,2
95476938,9,2007,-0.17,36,1,0,1,2
95477764,5,1999,0.48,28,1,0,1,2
95477764,7,2003,0.14,32,1,0,0,2
95477764,8,2005,-0.61,34,1,0,0,2
95477764,9,2007,0.22,36,1,0,1,2
95683348,5,1999,-0.85,28,1,0,1,2
95683348,6,2001,-0.4,30,1,0,1,2
95683348,7,2003,0.38,32,1,0,1,2
95683348,8,2005,0.58,34,1,0,1,2
95683348,9,2007,-0.14,36,1,0,1,2
95848584,5,1999,-0.38,28,0,1,1,2
95848584,6,2001,-1.29,30,0,1,1,2
95848584,7,2003,-0.78,32,0,1,1,2
95848584,8,2005,-1.27,34,0,1,1,2
95848584,9,2007,-1.1,36,0,1,1,2
95851038,5,1999,-0.66,28,1,0,1,2
95851038,6,2001,0.25,30,1,0,1,2
95851038,7,2003,-0.59,32,1,0,0,2
95851038,8,2005,-0.58,34,1,0,0,2
95851038,9,2007,-1.99,36,1,0,0,2
96109599,5,1999,1.08,28,0,0,1,2
96109599,6,2001,0.61,30,0,0,1,2
96109599,7,2003,1.17,32,0,0,1,2
96109599,8,2005,0.32,34,0,0,1,2
96109599,9,2007,0.12,36,0,0,1,2
96154179,5,1999,1.03,28,1,0,1,2
96154179,6,2001,0.38,30,1,0,1,2
96154179,7,2003,0.04,32,1,0,1,2
96154179,8,2005,0.38,34,1,0,1,2
96154179,9,2007,-0.02,36,1,0,1,2
96163216,5,1999,0.52,28,1,1,1,2
96163216,6,2001,0.19,30,1,1,1,2
96163216,7,2003,0.43,32,1,1,1,2
96163216,8,2005,0.77,34,1,1,1,2
96163216,9,2007,0.45,36,1,1,1,2
96179732,5,1999,0.6,28,1,0,1,2
96179732,6,2001,-0.05,30,1,0,1,2
96179732,7,2003,-0.18,32,1,0,1,2
96179732,8,2005,0.61,34,1,0,1,2
96179732,9,2007,1.18,36,1,0,1,2
96179759,6,2001,-1.21,30,0,0,1,2
96179759,7,2003,-1.14,32,0,0,1,2
96179759,8,2005,-0.3,34,0,0,1,2
96179759,9,2007,-0.14,36,0,0,1,2
96243333,5,1999,0.22,28,1,0,1,2
96243333,6,2001,0.14,30,1,0,1,2
96243333,7,2003,1.08,32,1,0,1,2
96243333,8,2005,0.93,34,1,0,1,2
96243333,9,2007,0.47,36,1,0,1,2
96251603,5,1999,-0.43,28,1,1,0,2
96251603,6,2001,-1.26,30,1,1,0,2
96251603,7,2003,0.12,32,1,1,0,2
96251603,8,2005,0.38,34,1,1,0,2
96251603,9,2007,-1.5,36,1,1,0,2
96276398,5,1999,-1.09,28,1,0,1,2
96276398,7,2003,0.76,32,1,0,1,2
96276398,8,2005,0.35,34,1,0,1,2
96276398,9,2007,0.39,36,1,0,1,2
96291249,5,1999,1.36,28,1,1,1,2
96291249,6,2001,1.15,30,1,1,1,2
96291249,7,2003,0.72,32,1,1,1,2
96291249,8,2005,0.92,34,1,1,1,2
